GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
estore-api,com.estore.api.estoreapi.persistence,ShoppingCartFileDAO,0,279,2,20,0,62,2,18,0,9
estore-api,com.estore.api.estoreapi.persistence,InventoryFileDAO,0,386,2,30,0,76,2,27,0,13
estore-api,com.estore.api.estoreapi,WebConfig,0,35,0,0,0,4,0,2,0,2
estore-api,com.estore.api.estoreapi,EstoreApiApplication,5,3,0,0,2,1,1,1,1,1
estore-api,com.estore.api.estoreapi.model,Size,0,49,0,0,0,10,0,3,0,3
estore-api,com.estore.api.estoreapi.model,Color,0,35,0,0,0,8,0,3,0,3
estore-api,com.estore.api.estoreapi.model,Jersey,4,189,1,19,2,45,2,25,1,16
estore-api,com.estore.api.estoreapi.model,ShoppingCart,0,63,1,5,0,15,1,8,0,6
estore-api,com.estore.api.estoreapi.controller,ShoppingCartController,0,143,0,8,0,36,0,10,0,6
estore-api,com.estore.api.estoreapi.controller,InventoryController,11,218,2,14,2,54,2,14,0,8
